Tasar M,TASAM,88.4
Teal,TEAL,99.2
Tech Dinghy,TD,111.2
Tern,TERN,124.1
The Ten,TEN,114.7
The Twelve,TWLV,96.4
Thistle,TH,83
Thunderbird C/B,TBD,93
Topper,TOP,110.4
Tornado C/B,TOCB,90.9
Town Class,TWN,97.3
Transfusion 547,TRF547,94.3
Trapeze,TRA,86.9
Tridente (Italy),TRD,97.8
UFO,UFO,96
United States Monotype,USMO,98.5
Upstart,UP,100.5
US-1,US-1,91.5
Vagabond 17 (and HLR17),VAG17,100
Vanguard 15,VGD15,90.5
Vector,VECT,101.9
Viper,VIP,94.5
Volant,VOL,81.5
Voyager 15,VOY15,103
Walker Bay 8,WB-8,123.5
Wanderer Sloop 14' spi,WAN14,96
Wayfarer,WF,91.6
Wee Punkin,WPN,132.8
Weesort,WS,124.7
West Wight Potter 15,WWP15,138.1
West Wight Potter 19,WWP19,105
Westlake 14,WL14,105.6
Whip,WHIP,93.2
Whirlwind,WHWN,115
Whitecap 18' (L-N),WHCAP,100.5
Widgeon,WDG,122.6
Wildflower,WILF,123.2
Windflight,WINF,108.3
Windjammer,WINJ,110.1
Windmill,WM,89.5
Wineglass,WINE,91.5
Wing Dinghy,WD,92
Wizz 14,WIZ,92.4
Woodpussy,WP,103
X-14 (Italy),X-14,95.1
X-Boat,X-B,97.7
Y-Boat,Y-B,91
Y-Flyer,YF,86.7
Zef 12,ZEF12,117.2
Zenith,ZEN,91.4
Zuma,ZUM,103.2
